model	constr	group	gap	island	effect
baseline	eval_cleft	53	1	-1	-1.90625
baseline	eval_cleft	53	1	1	-0.125
baseline	eval_cleft	54	-1	-1	3.3984375
baseline	eval_cleft	54	-1	1	-1.96875
baseline	eval_cleft	54	1	-1	-4.90625
baseline	eval_cleft	54	1	1	-1.875
baseline	eval_cleft	55	-1	-1	3.3984375
baseline	eval_cleft	55	-1	1	-1.96875
baseline	eval_cleft	55	1	-1	-5.59375
baseline	eval_cleft	55	1	1	-2.5
baseline	eval_cleft	56	-1	-1	3.3984375
baseline	eval_cleft	56	-1	1	-1.96875
baseline	eval_cleft	56	1	-1	-5.46875
baseline	eval_cleft	56	1	1	-3.0625
baseline	eval_cleft	57	-1	-1	2.90625
baseline	eval_cleft	57	-1	1	-1.15625
baseline	eval_cleft	57	1	-1	-4.90625
baseline	eval_cleft	57	1	1	-1.875
baseline	eval_cleft	58	-1	-1	2.90625
baseline	eval_cleft	58	-1	1	-1.15625
baseline	eval_cleft	58	1	-1	-5.59375
baseline	eval_cleft	58	1	1	-2.5
baseline	eval_cleft	59	-1	-1	2.90625
baseline	eval_cleft	59	-1	1	-1.15625
baseline	eval_cleft	59	1	-1	-5.46875
baseline	eval_cleft	59	1	1	-3.0625
baseline	eval_cleft	60	-1	-1	2.875
baseline	eval_cleft	60	-1	1	-1.15625
baseline	eval_cleft	60	1	-1	-4.90625
baseline	eval_cleft	60	1	1	-1.875
baseline	eval_cleft	61	-1	-1	2.875
baseline	eval_cleft	61	-1	1	-1.15625
baseline	eval_cleft	61	1	-1	-5.59375
baseline	eval_cleft	61	1	1	-2.5
baseline	eval_cleft	62	-1	-1	2.875
baseline	eval_cleft	62	-1	1	-1.15625
baseline	eval_cleft	62	1	-1	-5.46875
baseline	eval_cleft	62	1	1	-3.0625
baseline	eval_cleft	63	-1	-1	-2.1484375
baseline	eval_cleft	63	-1	1	-2.546875
baseline	eval_cleft	63	1	-1	-2.375
baseline	eval_cleft	63	1	1	-1.9375
baseline	eval_cleft	64	-1	-1	-2.1484375
baseline	eval_cleft	64	-1	1	-2.546875
baseline	eval_cleft	64	1	-1	-2.25
baseline	eval_cleft	64	1	1	-2.5625
baseline	eval_cleft	65	-1	-1	-2.1484375
baseline	eval_cleft	65	-1	1	-2.546875
baseline	eval_cleft	65	1	-1	-3.96875
baseline	eval_cleft	65	1	1	-3.5625
baseline	eval_cleft	66	-1	-1	-1.125
baseline	eval_cleft	66	-1	1	-3.625
baseline	eval_cleft	66	1	-1	-2.375
baseline	eval_cleft	66	1	1	-1.9375
baseline	eval_cleft	67	-1	-1	-1.125
baseline	eval_cleft	67	-1	1	-3.625
baseline	eval_cleft	67	1	-1	-2.25
baseline	eval_cleft	67	1	1	-2.5625
baseline	eval_cleft	68	-1	-1	-1.125
baseline	eval_cleft	68	-1	1	-3.625
baseline	eval_cleft	68	1	-1	-3.96875
baseline	eval_cleft	68	1	1	-3.5625
baseline	eval_cleft	69	-1	-1	-1.8125
baseline	eval_cleft	69	-1	1	-2.40625
baseline	eval_cleft	69	1	-1	-2.375
baseline	eval_cleft	69	1	1	-1.9375
baseline	eval_cleft	70	-1	-1	-1.8125
baseline	eval_cleft	70	-1	1	-2.40625
baseline	eval_cleft	70	1	-1	-2.25
baseline	eval_cleft	70	1	1	-2.5625
baseline	eval_cleft	71	-1	-1	-1.8125
baseline	eval_cleft	71	-1	1	-2.40625
baseline	eval_cleft	71	1	-1	-3.96875
baseline	eval_cleft	71	1	1	-3.5625
baseline	eval_cleft	72	-1	-1	0.328125
baseline	eval_cleft	72	-1	1	-1.71875
baseline	eval_cleft	72	1	-1	-0.53125
baseline	eval_cleft	72	1	1	-0.1875
baseline	eval_cleft	73	-1	-1	0.328125
baseline	eval_cleft	73	-1	1	-1.71875
baseline	eval_cleft	73	1	-1	0.0625
baseline	eval_cleft	73	1	1	-1.0625
baseline	eval_cleft	74	-1	-1	0.328125
baseline	eval_cleft	74	-1	1	-1.71875
baseline	eval_cleft	74	1	-1	-1.96875
baseline	eval_cleft	74	1	1	-1.6875
baseline	eval_cleft	75	-1	-1	1.125
baseline	eval_cleft	75	-1	1	-0.09375
baseline	eval_cleft	75	1	-1	-0.53125
baseline	eval_cleft	75	1	1	-0.1875
baseline	eval_cleft	76	-1	-1	1.125
baseline	eval_cleft	76	-1	1	-0.09375
baseline	eval_cleft	76	1	-1	0.0625
baseline	eval_cleft	76	1	1	-1.0625
baseline	eval_cleft	77	-1	-1	1.125
baseline	eval_cleft	77	-1	1	-0.09375
baseline	eval_cleft	77	1	-1	-1.96875
baseline	eval_cleft	77	1	1	-1.6875
baseline	eval_cleft	78	-1	-1	0.1875
baseline	eval_cleft	78	-1	1	0.875
baseline	eval_cleft	78	1	-1	-0.53125
baseline	eval_cleft	78	1	1	-0.1875
baseline	eval_cleft	79	-1	-1	0.1875
baseline	eval_cleft	79	-1	1	0.875
baseline	eval_cleft	79	1	-1	0.0625
baseline	eval_cleft	79	1	1	-1.0625
baseline	eval_cleft	80	-1	-1	0.1875
baseline	eval_cleft	80	-1	1	0.875
baseline	eval_cleft	80	1	-1	-1.96875
baseline	eval_cleft	80	1	1	-1.6875
baseline	eval_cleft	81	-1	-1	1.6015625
baseline	eval_cleft	81	-1	1	-2.3671875
baseline	eval_cleft	81	1	-1	-3.84375
baseline	eval_cleft	81	1	1	-1.75
baseline	eval_cleft	82	-1	-1	1.6015625
baseline	eval_cleft	82	-1	1	-2.3671875
baseline	eval_cleft	82	1	-1	-4.46875
baseline	eval_cleft	82	1	1	-1.375
baseline	eval_cleft	83	-1	-1	1.6015625
baseline	eval_cleft	83	-1	1	-2.3671875
baseline	eval_cleft	83	1	-1	-4.34375
baseline	eval_cleft	83	1	1	-0.6875
baseline	eval_cleft	84	-1	-1	5.15625
baseline	eval_cleft	84	-1	1	1.375
baseline	eval_cleft	84	1	-1	-3.84375
baseline	eval_cleft	84	1	1	-1.75
baseline	eval_cleft	85	-1	-1	5.15625
baseline	eval_cleft	85	-1	1	1.375
baseline	eval_cleft	85	1	-1	-4.46875
baseline	eval_cleft	85	1	1	-1.375
baseline	eval_cleft	86	-1	-1	5.15625
baseline	eval_cleft	86	-1	1	1.375
baseline	eval_cleft	86	1	-1	-4.34375
baseline	eval_cleft	86	1	1	-0.6875
baseline	eval_cleft	87	-1	-1	2.5
baseline	eval_cleft	87	-1	1	0.1875
baseline	eval_cleft	87	1	-1	-3.84375
baseline	eval_cleft	87	1	1	-1.75
baseline	eval_cleft	88	-1	-1	2.5
baseline	eval_cleft	88	-1	1	0.1875
baseline	eval_cleft	88	1	-1	-4.46875
baseline	eval_cleft	88	1	1	-1.375
baseline	eval_cleft	89	-1	-1	2.5
baseline	eval_cleft	89	-1	1	0.1875
baseline	eval_cleft	89	1	-1	-4.34375
baseline	eval_cleft	89	1	1	-0.6875
baseline	eval_cleft	90	-1	-1	0.1796875
baseline	eval_cleft	90	-1	1	-1.9609375
baseline	eval_cleft	90	1	-1	-0.75
baseline	eval_cleft	90	1	1	-1.125
baseline	eval_cleft	91	-1	-1	0.1796875
baseline	eval_cleft	91	-1	1	-1.9609375
baseline	eval_cleft	91	1	-1	-3.15625
baseline	eval_cleft	91	1	1	-1.5625
baseline	eval_cleft	92	-1	-1	0.1796875
baseline	eval_cleft	92	-1	1	-1.9609375
baseline	eval_cleft	92	1	-1	-4.03125
baseline	eval_cleft	92	1	1	-1.1875
baseline	eval_cleft	93	-1	-1	2.71875
baseline	eval_cleft	93	-1	1	1.625
baseline	eval_cleft	93	1	-1	-0.75
baseline	eval_cleft	93	1	1	-1.125
baseline	eval_cleft	94	-1	-1	2.71875
baseline	eval_cleft	94	-1	1	1.625
baseline	eval_cleft	94	1	-1	-3.15625
baseline	eval_cleft	94	1	1	-1.5625
baseline	eval_cleft	95	-1	-1	2.71875
baseline	eval_cleft	95	-1	1	1.625
baseline	eval_cleft	95	1	-1	-4.03125
baseline	eval_cleft	95	1	1	-1.1875
baseline	eval_cleft	96	-1	-1	0.8125
baseline	eval_cleft	96	-1	1	2.34375
baseline	eval_cleft	96	1	-1	-0.75
baseline	eval_cleft	96	1	1	-1.125
baseline	eval_cleft	97	-1	-1	0.8125
baseline	eval_cleft	97	-1	1	2.34375
baseline	eval_cleft	97	1	-1	-3.15625
baseline	eval_cleft	97	1	1	-1.5625
baseline	eval_cleft	98	-1	-1	0.8125
baseline	eval_cleft	98	-1	1	2.34375
baseline	eval_cleft	98	1	-1	-4.03125
baseline	eval_cleft	98	1	1	-1.1875
baseline	eval_cleft	99	-1	-1	1.328125
baseline	eval_cleft	99	-1	1	-1.5078125
baseline	eval_cleft	99	1	-1	-0.21875
baseline	eval_cleft	99	1	1	-0.3125
baseline	eval_cleft	100	-1	-1	1.328125
baseline	eval_cleft	100	-1	1	-1.5078125
baseline	eval_cleft	100	1	-1	-0.25
baseline	eval_cleft	100	1	1	-0.5
baseline	eval_cleft	101	-1	-1	1.328125
baseline	eval_cleft	101	-1	1	-1.5078125
baseline	eval_cleft	101	1	-1	-1.90625
baseline	eval_cleft	101	1	1	-0.1875
baseline	eval_cleft	102	-1	-1	4.0625
baseline	eval_cleft	102	-1	1	1.96875
baseline	eval_cleft	102	1	-1	-0.21875
baseline	eval_cleft	102	1	1	-0.3125
baseline	eval_cleft	103	-1	-1	4.0625
baseline	eval_cleft	103	-1	1	1.96875
baseline	eval_cleft	103	1	-1	-0.25
baseline	eval_cleft	103	1	1	-0.5
baseline	eval_cleft	104	-1	-1	4.0625
baseline	eval_cleft	104	-1	1	1.96875
baseline	eval_cleft	104	1	-1	-1.90625
baseline	eval_cleft	104	1	1	-0.1875
baseline	eval_cleft	105	-1	-1	2.5
baseline	eval_cleft	105	-1	1	3.125
baseline	eval_cleft	105	1	-1	-0.21875
baseline	eval_cleft	105	1	1	-0.3125
baseline	eval_cleft	106	-1	-1	2.5
baseline	eval_cleft	106	-1	1	3.125
baseline	eval_cleft	106	1	-1	-0.25
baseline	eval_cleft	106	1	1	-0.5
baseline	eval_cleft	107	-1	-1	2.5
baseline	eval_cleft	107	-1	1	3.125
baseline	eval_cleft	107	1	-1	-1.90625
baseline	eval_cleft	107	1	1	-0.1875
baseline	eval_cleft	108	-1	-1	1.3984375
baseline	eval_cleft	108	-1	1	-2.1796875
baseline	eval_cleft	108	1	-1	-2.90625
baseline	eval_cleft	108	1	1	-0.6875
baseline	eval_cleft	109	-1	-1	1.3984375
baseline	eval_cleft	109	-1	1	-2.1796875
baseline	eval_cleft	109	1	-1	-4.71875
baseline	eval_cleft	109	1	1	-0.5625
baseline	eval_cleft	110	-1	-1	1.3984375
baseline	eval_cleft	110	-1	1	-2.1796875
baseline	eval_cleft	110	1	-1	-4.40625
baseline	eval_cleft	110	1	1	-0.5
baseline	eval_cleft	111	-1	-1	4.6875
baseline	eval_cleft	111	-1	1	1.0
baseline	eval_cleft	111	1	-1	-2.90625
baseline	eval_cleft	111	1	1	-0.6875
baseline	eval_cleft	112	-1	-1	4.6875
baseline	eval_cleft	112	-1	1	1.0
baseline	eval_cleft	112	1	-1	-4.71875
baseline	eval_cleft	112	1	1	-0.5625
baseline	eval_cleft	113	-1	-1	4.6875
baseline	eval_cleft	113	-1	1	1.0
baseline	eval_cleft	113	1	-1	-4.40625
baseline	eval_cleft	113	1	1	-0.5
baseline	eval_cleft	114	-1	-1	3.40625
baseline	eval_cleft	114	-1	1	1.21875
baseline	eval_cleft	114	1	-1	-2.90625
baseline	eval_cleft	114	1	1	-0.6875
baseline	eval_cleft	115	-1	-1	3.40625
baseline	eval_cleft	115	-1	1	1.21875
baseline	eval_cleft	115	1	-1	-4.71875
baseline	eval_cleft	115	1	1	-0.5625
baseline	eval_cleft	116	-1	-1	3.40625
baseline	eval_cleft	116	-1	1	1.21875
baseline	eval_cleft	116	1	-1	-4.40625
baseline	eval_cleft	116	1	1	-0.5
baseline	eval_cleft	117	-1	-1	-0.5234375
baseline	eval_cleft	117	-1	1	-1.765625
baseline	eval_cleft	117	1	-1	-1.375
baseline	eval_cleft	117	1	1	-0.75
baseline	eval_cleft	118	-1	-1	-0.5234375
baseline	eval_cleft	118	-1	1	-1.765625
baseline	eval_cleft	118	1	-1	-3.125
baseline	eval_cleft	118	1	1	-1.0625
baseline	eval_cleft	119	-1	-1	-0.5234375
baseline	eval_cleft	119	-1	1	-1.765625
baseline	eval_cleft	119	1	-1	-4.15625
baseline	eval_cleft	119	1	1	-1.375
baseline	eval_cleft	120	-1	-1	2.03125
baseline	eval_cleft	120	-1	1	1.0
baseline	eval_cleft	120	1	-1	-1.375
baseline	eval_cleft	120	1	1	-0.75
baseline	eval_cleft	121	-1	-1	2.03125
baseline	eval_cleft	121	-1	1	1.0
baseline	eval_cleft	121	1	-1	-3.125
baseline	eval_cleft	121	1	1	-1.0625
baseline	eval_cleft	122	-1	-1	2.03125
baseline	eval_cleft	122	-1	1	1.0
baseline	eval_cleft	122	1	-1	-4.15625
baseline	eval_cleft	122	1	1	-1.375
baseline	eval_cleft	123	-1	-1	-0.3125
baseline	eval_cleft	123	-1	1	1.5625
baseline	eval_cleft	123	1	-1	-1.375
baseline	eval_cleft	123	1	1	-0.75
baseline	eval_cleft	124	-1	-1	-0.3125
baseline	eval_cleft	124	-1	1	1.5625
baseline	eval_cleft	124	1	-1	-3.125
baseline	eval_cleft	124	1	1	-1.0625
baseline	eval_cleft	125	-1	-1	-0.3125
baseline	eval_cleft	125	-1	1	1.5625
baseline	eval_cleft	125	1	-1	-4.15625
baseline	eval_cleft	125	1	1	-1.375
baseline	eval_cleft	126	-1	-1	-0.171875
baseline	eval_cleft	126	-1	1	-1.265625
baseline	eval_cleft	126	1	-1	0.28125
baseline	eval_cleft	126	1	1	0.1875
baseline	eval_cleft	127	-1	-1	-0.171875
baseline	eval_cleft	127	-1	1	-1.265625
baseline	eval_cleft	127	1	-1	-0.375
baseline	eval_cleft	127	1	1	-0.5
baseline	eval_cleft	128	-1	-1	-0.171875
baseline	eval_cleft	128	-1	1	-1.265625
baseline	eval_cleft	128	1	-1	-1.65625
baseline	eval_cleft	128	1	1	-0.5625
baseline	eval_cleft	129	-1	-1	2.5
baseline	eval_cleft	129	-1	1	1.03125
baseline	eval_cleft	129	1	-1	0.28125
baseline	eval_cleft	129	1	1	0.1875
baseline	eval_cleft	130	-1	-1	2.5
baseline	eval_cleft	130	-1	1	1.03125
baseline	eval_cleft	130	1	-1	-0.375
baseline	eval_cleft	130	1	1	-0.5
baseline	eval_cleft	131	-1	-1	2.5
baseline	eval_cleft	131	-1	1	1.03125
baseline	eval_cleft	131	1	-1	-1.65625
baseline	eval_cleft	131	1	1	-0.5625
baseline	eval_cleft	132	-1	-1	2.0
baseline	eval_cleft	132	-1	1	2.9375
baseline	eval_cleft	132	1	-1	0.28125
baseline	eval_cleft	132	1	1	0.1875
baseline	eval_cleft	133	-1	-1	2.0
baseline	eval_cleft	133	-1	1	2.9375
baseline	eval_cleft	133	1	-1	-0.375
baseline	eval_cleft	133	1	1	-0.5
baseline	eval_cleft	134	-1	-1	2.0
baseline	eval_cleft	134	-1	1	2.9375
baseline	eval_cleft	134	1	-1	-1.65625
baseline	eval_cleft	134	1	1	-0.5625
baseline	eval_cleft	135	-1	-1	0.9609375
baseline	eval_cleft	135	-1	1	-2.265625
baseline	eval_cleft	135	1	-1	-3.34375
baseline	eval_cleft	135	1	1	-1.25
baseline	eval_cleft	136	-1	-1	0.9609375
baseline	eval_cleft	136	-1	1	-2.265625
baseline	eval_cleft	136	1	-1	-5.53125
baseline	eval_cleft	136	1	1	-1.0
baseline	eval_cleft	137	-1	-1	0.9609375
baseline	eval_cleft	137	-1	1	-2.265625
baseline	eval_cleft	137	1	-1	-4.84375
baseline	eval_cleft	137	1	1	-0.4375
baseline	eval_cleft	138	-1	-1	4.84375
baseline	eval_cleft	138	-1	1	1.4375
